Price,Close,High,Low,Open,Volume
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
Date,,,,,
2010-01-04,101.86460876464844,102.97153364147307,101.26997785277224,101.54442503655567,1079040
2010-01-05,105.37751007080078,106.75887527592695,102.2762887212796,102.42265544748287,2112500
2010-01-06,110.60108947753906,111.60738416840705,103.43808929395011,105.93553628934625,5761450
2010-01-07,109.29290771484375,112.71431256294082,108.86294371120006,111.14083024300301,3174260
2010-01-08,109.16482543945312,111.33293152585394,108.53360114620664,109.22886218083455,1220560
2010-01-11,112.87897491455078,116.16316301545707,109.41182668222956,110.3266412982674,5512030
2010-01-12,114.57137298583984,117.46218335212365,112.76918719464196,113.80293210930859,4366170
2010-01-13,118.8984375,119.81325196782552,96.05551912167984,112.56792305772271,4475290
2010-01-14,116.94990539550781,121.25868868225852,116.4101680842079,120.27983027389986,3020830
2010-01-15,118.75209045410156,119.29182776095384,116.24550020464459,117.64517251692752,2396195
2010-01-18,118.75209045410156,120.38961653559024,117.37986844477021,117.37986844477021,2031560
2010-01-19,115.68744659423828,119.62114495246641,115.26663274081747,119.2918111577056,769910
2010-01-20,114.1048355102539,118.01109103397224,113.54679800979672,116.25464856342599,843480
2010-01-21,114.05909729003906,117.99279631975985,112.15628103537888,113.71147021599783,1712055
2010-01-22,112.59537506103516,113.80292997254057,107.58218831964541,111.80863399965486,2194355
2010-01-25,110.02476501464844,113.43702704429178,109.50332089531769,113.25406688923916,652660
2010-01-27,107.09734344482422,112.28434047919687,106.13678533646717,110.10708427426403,999240
2010-01-28,107.25286865234375,110.23516639453379,105.2036857707169,108.89038772926926,811325
2010-01-29,108.8995361328125,110.51875498281358,105.20368413101973,106.30145891276806,2203015
2010-02-01,112.3392333984375,112.92471417223088,107.96641383616368,108.86293519699308,642590
2010-02-02,114.38841247558594,115.63256082527316,112.55878337069073,113.80293172037796,1877745
2010-02-03,119.81665802001953,120.28509548344859,114.81090534977018,116.09678889118791,2264310
2010-02-04,118.79715728759766,120.82702061392754,116.74893430401991,118.53080210744852,1960870
2010-02-05,116.67545318603516,118.46650081127234,112.51470638932818,113.0749842633773,2513800
2010-02-08,119.238037109375,119.94526229352341,117.3826886976371,119.40335810878474,892700
2010-02-09,117.55720520019531,119.21967222769098,116.83159928344361,119.21967222769098,676620
2010-02-10,117.62149810791016,119.05433625709506,117.10714738922901,117.38269642138133,697880
2010-02-11,117.55720520019531,118.44814614355175,116.64790459888752,117.9337814057862,615600
2010-02-15,117.08877563476562,119.77075012596339,115.54571653828683,115.54571653828683,925995
2010-02-16,116.68463134765625,117.8235536757664,116.37234201127794,117.8235536757664,479900
2010-02-17,125.30006408691406,127.99123977159752,117.84195001108033,120.5055581767332,5685510
2010-02-18,122.73746490478516,126.56755534265338,119.40335145250238,119.40335145250238,7141980
2010-02-19,120.37696075439453,124.89591724399801,119.49522066691415,121.97513393358598,3058535
2010-02-22,119.04512786865234,122.47108123832582,118.19092747540783,121.22193807191636,1931730
2010-02-23,119.22885131835938,120.54229563406393,118.11748937392304,118.11748937392304,2220280
2010-02-24,117.51127624511719,120.41369969507593,116.83159054658101,118.66856528478199,1295395
2010-02-25,122.66400146484375,123.5732950686222,117.96133620159098,117.96133620159098,6303470
2010-02-26,123.78456115722656,125.0979915216849,121.44241528867494,123.07732187597618,2091610
