Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-02-25,301.9337463378906,303.3325862906278,299.9635424466157,303.3325862906278,2672984
2010-02-26,300.1803894042969,306.7805752839118,294.01366299773287,302.26880161882127,3015934
2010-03-02,300.73199462890625,303.01742684838274,297.5008547081001,300.25914077824143,4053352
2010-03-03,302.91876220703125,304.9874757050305,301.1061847622511,303.0172723736026,2754742
2010-03-04,301.0079040527344,303.4115443292277,298.28901176263037,302.62346239590505,2053606
2010-03-05,300.49542236328125,302.20951380518954,299.5300419073006,301.4411296450469,1287312
2010-03-08,300.5349426269531,303.4114358450256,299.5892350249611,302.4657282430336,3015740
2010-03-09,302.89923095703125,306.7608267925196,300.6531931184232,300.6531931184232,3457732
2010-03-10,307.37152099609375,309.10531013491146,299.4710077721725,300.92896354113174,4587874
2010-03-11,311.9226379394531,313.2229916124504,304.17975188387277,307.37147223497647,3214030
2010-03-12,314.03070068359375,315.2325198554762,312.08019465692144,315.2325198554762,2510976
2010-03-15,322.3253173828125,323.1133988434062,311.7453333944774,314.0307648201316,6054434
2010-03-16,326.6598205566406,327.82224571730256,321.458477228662,323.7045145805552,3088856
2010-03-17,331.27008056640625,333.31909738305563,327.05383951202657,328.63000259401224,4174794
2010-03-18,325.41845703125,332.96434500262586,323.3103492007746,332.96434500262586,3724554
2010-03-19,323.4680480957031,328.8072952302621,317.30130098970784,317.30130098970784,4716624
2010-03-22,326.1081848144531,328.5512427969415,317.6560281598249,321.10388545961064,3310110
2010-03-23,326.5218811035156,328.23594876685644,323.9408949191593,327.05382650238994,1694964
2010-03-25,326.97515869140625,329.7334451996134,322.32548053049834,324.72912058179617,5517582
2010-03-26,325.10333251953125,329.4180837616447,324.0197204018943,327.0538391413458,1997806
2010-03-29,319.9415283203125,326.7781286304675,318.6017795783861,324.68971657422253,3443266
2010-03-30,315.23272705078125,321.57677606253884,314.1097200808022,318.6214692464378,3097160
2010-03-31,307.6080017089844,318.0894787852703,306.28795042039314,315.2326825992149,7083046
2010-04-01,318.30609130859375,319.09417275478995,308.17923991490466,309.8539129880716,5781432
2010-04-05,316.5527038574219,321.93137102279985,314.93714600975864,321.93137102279985,3001836
2010-04-06,313.67620849609375,318.7396477626602,312.1394636374441,318.7396477626602,3702366
2010-04-07,314.4643249511719,318.77907747239425,307.8050483933907,311.2923006219919,3024558
2010-04-08,315.01580810546875,318.1878305848236,311.2921190860813,313.6563630285072,4494438
2010-04-09,311.9226379394531,318.3455211959202,310.60261109000186,316.0206712263641,3018012
2010-04-12,314.4837951660156,315.232481930733,311.3314703467083,311.68611650901227,2869882
2010-04-13,323.4483642578125,324.6107893674968,310.2086036857101,315.23262362472923,8404916
2010-04-15,323.7832946777344,328.98463747764424,322.7390770520622,323.9015020947084,4290952
