Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-01-04,233.2685546875,234.82212198433638,231.72390290945708,233.03640242552012,4069264
2010-01-05,234.04986572265625,234.8846767468743,232.15253821533346,233.92932090285507,6895528
2010-01-06,230.63467407226562,239.55433670469998,229.92038607612787,239.55433670469998,6817288
2010-01-07,225.45166015625,230.94721882742925,224.84004222433978,230.94721882742925,10892600
2010-01-08,220.01853942871094,225.29535033045556,219.46497063218672,224.91141620117102,12649312
2010-01-11,222.29090881347656,223.63466764018617,220.89359145911305,220.99181479065905,7849656
2010-01-12,230.97842407226562,231.60789476118066,223.2150103712227,223.2150103712227,24859680
2010-01-13,239.59901428222656,240.6258034248558,221.148068538578,221.148068538578,19704040
2010-01-14,240.156982421875,241.33108442615693,236.6257172926993,239.19715806606678,8413904
2010-01-15,238.91156005859375,240.40263237886012,236.9785044573935,240.1570957998288,5049504
2010-01-18,239.88018798828125,240.1793047637343,237.14358120909975,237.76858311740685,6140088
2010-01-19,235.34898376464844,240.00079357978393,234.6525703290951,239.28650550365361,5837512
2010-01-20,237.2953643798828,238.67929718473775,235.5364347875732,236.48732183415495,6091992
2010-01-21,234.39364624023438,237.92044389324982,232.14364298329582,235.9829416941734,6682792
2010-01-22,229.9650421142578,233.0364719524557,227.85788368684558,232.14361190666088,13486496
2010-01-25,226.99183654785156,229.46058610251944,224.82218205949124,227.67933449233627,6498712
2010-01-27,223.41590881347656,226.2373553262014,221.88910938949005,226.07216749554308,9840856
2010-01-28,222.47845458984375,228.11685839477482,221.38470077476373,224.3757826364111,12732872
2010-01-29,221.02752685546875,223.21503419053602,214.71501004822903,218.96501122021093,15012280
2010-02-01,218.8622589111328,225.89352985014423,213.40242994258685,218.48279349537665,12308784
2010-02-02,217.8533477783203,223.3042618484426,216.21940979537152,223.3042618484426,9889384
2010-02-03,220.82212829589844,223.21499742799446,218.75069747943456,218.75069747943456,6405608
