Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2010-01-04,55.72739791870117,56.02399352002294,55.002377509108875,55.584591325470406,5161635
2010-01-05,56.276649475097656,56.40847365363297,55.518676791398875,55.98005387340511,10767225
2010-01-06,56.40847396850586,56.83688872254689,55.71641085592251,56.83688872254689,7529979
2010-01-07,56.232704162597656,56.792943037031904,55.73837485658313,56.46339016635555,4987434
2010-01-08,56.353546142578125,56.7929483349435,56.100890259111395,56.100890259111395,4881351
2010-01-11,56.37552261352539,57.012658632908234,56.243703448927064,56.57325638900168,7201263
2010-01-12,54.936466217041016,56.40847181993501,54.72775005543804,56.40847181993501,15514101
2010-01-13,54.69478988647461,55.309955924506596,54.266375171218236,54.70577732899345,12476064
2010-01-14,54.51902389526367,55.1232024116567,54.26636806477277,55.03532299732545,12324480
2010-01-15,55.529659271240234,55.628526139159774,54.28834478674423,54.93646309230074,7839831
2010-01-18,55.04631805419922,55.87020032424673,54.92548634602679,55.54064741622773,5642286
2010-01-19,54.903507232666016,55.23306008513441,54.551979496694095,55.23306008513441,6295626
2010-01-20,54.28836441040039,55.255053525507755,54.10161804952803,54.92550053237069,10432659
2010-01-21,53.71710968017578,54.958423961688155,53.277707596203065,54.376215320423334,11734698
2010-01-22,54.72776412963867,55.73839292542549,53.00310220639077,53.38758235634357,46258872
2010-01-25,56.04596710205078,56.30961044773023,54.387215033108994,54.92548916863636,15803928
2010-01-27,56.22173309326172,56.9137912441792,55.584597079487345,55.694446382352325,35549841
2010-01-28,55.859214782714844,56.463393404073656,54.60691279661979,56.39748383187455,19603176
2010-01-29,54.95843505859375,56.408470777067805,54.72774904364364,55.694437846433686,15766656
2010-02-01,54.156517028808594,55.48571587919108,53.98075818956444,54.92547703623415,12617925
2010-02-02,53.69514465332031,54.93645904639728,53.39854407140541,54.93645904639728,10822941
2010-02-03,55.496707916259766,55.991037280223765,53.49742060168839,53.82697351099772,13888179
2010-02-04,55.661476135253906,55.96905914033792,54.837593983882016,55.36488057219106,12115686
2010-02-05,54.562965393066406,55.650490781125775,54.266369845676266,55.364877646598885,18616515
2010-02-08,53.903873443603516,54.5300219936952,52.88225735810802,54.48608227389002,23410362
2010-02-09,53.58530807495117,54.22243904206299,53.33264714266491,53.9148610027711,12081411
2010-02-10,53.58530807495117,54.046680162467624,53.189840538704374,53.761066954546536,8559072
2010-02-11,54.299339294433594,54.46411576814001,53.78304001205875,53.837967179487194,6952629
2010-02-15,54.782684326171875,54.9254909334794,53.848947656412186,54.595937997935685,6487740
2010-02-16,54.95843505859375,55.2550356737393,54.508045443007454,55.09025923040665,6122928
2010-02-17,55.30997085571289,55.518687062714555,54.80465899214657,55.03534506153898,7889148
2010-02-18,54.541011810302734,55.52967063465868,54.15653170241582,55.40883388564911,4007403
2010-02-19,54.5959358215332,55.0133681822938,54.00273955548583,54.77169469824145,6003729
2010-02-22,54.398189544677734,55.09025253398322,54.068636698070804,54.870548960052815,6519765
2010-02-23,54.760711669921875,54.91450068532057,54.00273895115356,54.3982014479001,7205160
2010-02-24,54.409183502197266,55.02434453143391,54.22243217341607,54.56297250236194,8543616
2010-02-25,54.398189544677734,54.81562180942587,53.98075727992959,54.68380268221405,14311632
2010-02-26,51.02577590942383,55.452770510971014,50.2678031806925,54.59593592818744,70062642
2010-03-02,53.156890869140625,53.65122028510552,51.62996289919292,51.65193276021943,29079219
2010-03-03,53.541358947753906,54.10160290209279,52.36595393656173,53.277720649921726,13051704
