ticker,Model,MAE,RMSE,R2 Score,MAPE (%)
RELIANCE.NS,GRU,0.5309647407426216,0.6852726425907204,0.9587828139256702,5.05787126020365
RELIANCE.NS,LSTM,0.7053374841296479,0.8746453859492275,0.9328547076376336,6.92063131906869
RELIANCE.NS,BiLSTM,0.709163474852555,0.8858759689435348,0.9311193253945619,7.021056751271189
RELIANCE.NS,Random Forest,2.9588481147977954,4.044722218060426,-0.4359157251074097,21.382109717752765
RELIANCE.NS,XGBoost,3.215383577635376,4.322048094490366,-0.6395729357379936,23.429845273112047
TCS.NS,GRU,1.4208435859769968,1.830497550405691,0.9432118291556797,8.370426588011913
TCS.NS,LSTM,1.5586542657208264,2.039207906819174,0.929523782217397,8.534376690372321
TCS.NS,BiLSTM,1.633212542063529,2.045671340702985,0.9290763140866576,10.23352518061726
TCS.NS,Random Forest,5.181163230886148,7.402760954412289,0.07123246258768123,20.711867707025565
TCS.NS,XGBoost,6.264512914040937,8.543424248758573,-0.23703937160619892,25.885290492630947
ADANIPORTS.NS,GRU,1.0685480114037282,1.4236265658571758,0.9782048203492778,12.694153077878795
ADANIPORTS.NS,LSTM,3.5008988776443877,4.301592909818242,0.8010119935412192,26.89628593569911
ADANIPORTS.NS,BiLSTM,2.246728118605678,2.784368545004384,0.9166277113198147,19.82554085908543
ADANIPORTS.NS,Random Forest,12.732332881925958,15.174334118584774,-1.476210556127417,93.49269950732878
ADANIPORTS.NS,XGBoost,11.97717325679468,14.329490710950829,-1.2081562265317527,87.30891895889084
INFY.NS,GRU,0.8579718740736136,1.131346050614962,0.9722577864622091,118.40204236812907
INFY.NS,LSTM,1.1672554536324424,1.5079473145028317,0.9507141198774846,157.90276786052712
INFY.NS,BiLSTM,1.1120114501167058,1.381616628432623,0.9586262121614889,170.18979818706904
INFY.NS,Random Forest,1.947247612036926,2.922275500868996,0.8149059346282506,94.36553256849189
INFY.NS,XGBoost,2.2497265176131154,3.2935745140562274,0.7648823854625751,90.66490810557025
ITC.NS,GRU,0.1654972850780252,0.21832744096012766,0.9060751751656025,5.521762726516522
ITC.NS,LSTM,0.26298620205532747,0.33287035951133376,0.7816697082304995,8.912224704296056
ITC.NS,BiLSTM,0.1604623071945677,0.2134433421054227,0.9102304661511427,5.150529509127108
ITC.NS,Random Forest,0.5828513619574063,0.8307236401702511,-0.3598057836362105,16.59924795805205
ITC.NS,XGBoost,0.5944536806397207,0.8474299156736365,-0.41504850715957375,16.8113969337986
